episode_id,stage,start_local,end_local,n_epochs,duration_min
87,light,2026-04-13 04:26:03,2026-04-13 04:29:03,4,4.0
88,deep,2026-04-13 04:30:00,2026-04-13 04:30:00,1,1.0
89,light,2026-04-13 04:30:03,2026-04-13 04:30:03,1,1.0
90,rem,2026-04-13 04:31:03,2026-04-13 04:31:03,1,1.0
91,light,2026-04-13 04:32:03,2026-04-13 04:38:03,7,7.0
92,deep,2026-04-13 04:39:03,2026-04-13 04:39:03,1,1.0
93,light,2026-04-13 04:40:00,2026-04-13 04:41:03,3,3.0
94,deep,2026-04-13 04:42:03,2026-04-13 04:42:03,1,1.0
95,light,2026-04-13 04:43:03,2026-04-13 04:44:03,2,2.0
96,deep,2026-04-13 04:45:03,2026-04-13 04:45:03,1,1.0
97,light,2026-04-13 04:46:03,2026-04-13 05:35:03,55,55.0
98,rem,2026-04-13 05:36:03,2026-04-13 05:36:03,1,1.0
99,light,2026-04-13 05:37:03,2026-04-13 05:44:03,9,9.0
100,rem,2026-04-13 05:45:04,2026-04-13 05:45:04,1,1.0
101,light,2026-04-13 05:46:03,2026-04-13 05:55:03,11,11.0
102,rem,2026-04-13 05:56:03,2026-04-13 05:56:03,1,1.0
103,light,2026-04-13 05:57:03,2026-04-13 06:05:03,10,10.0
104,rem,2026-04-13 06:06:03,2026-04-13 06:06:03,1,1.0
105,light,2026-04-13 06:07:03,2026-04-13 06:12:03,7,7.0
106,deep,2026-04-13 06:13:03,2026-04-13 06:18:03,6,6.0
107,light,2026-04-13 06:19:03,2026-04-13 06:20:00,2,2.0
108,deep,2026-04-13 06:20:03,2026-04-13 06:24:03,5,5.0
109,light,2026-04-13 06:25:03,2026-04-13 06:34:03,11,11.0
110,deep,2026-04-13 06:35:03,2026-04-13 06:36:03,2,2.0
111,light,2026-04-13 06:37:03,2026-04-13 07:19:03,47,47.0
112,rem,2026-04-13 07:20:00,2026-04-13 07:20:00,1,1.0
113,light,2026-04-13 07:20:03,2026-04-13 07:21:03,2,2.0
114,rem,2026-04-13 07:22:03,2026-04-13 07:29:03,8,8.0
115,light,2026-04-13 07:30:00,2026-04-13 07:30:00,1,1.0
116,rem,2026-04-13 07:30:03,2026-04-13 07:31:03,2,2.0
117,light,2026-04-13 07:32:03,2026-04-13 07:40:00,9,9.0
118,rem,2026-04-13 07:40:03,2026-04-13 07:40:03,1,1.0
119,light,2026-04-13 07:41:03,2026-04-13 08:13:03,36,36.0
120,rem,2026-04-13 08:14:03,2026-04-13 08:15:03,2,2.0
121,light,2026-04-13 08:16:03,2026-04-13 08:19:03,4,4.0
122,rem,2026-04-13 08:20:00,2026-04-13 08:20:00,1,1.0
123,light,2026-04-13 08:20:03,2026-04-13 08:23:03,4,4.0
124,rem,2026-04-13 08:24:03,2026-04-13 08:25:03,2,2.0
125,light,2026-04-13 08:26:03,2026-04-13 08:26:03,1,1.0
126,rem,2026-04-13 08:27:03,2026-04-13 08:29:03,3,3.0
127,awake,2026-04-13 08:30:00,2026-04-13 08:30:00,1,1.0
128,rem,2026-04-13 08:30:03,2026-04-13 08:36:03,7,7.0
129,awake,2026-04-13 08:37:03,2026-04-13 08:39:03,3,3.0
130,rem,2026-04-13 08:40:00,2026-04-13 08:42:03,4,4.0
131,light,2026-04-13 08:43:03,2026-04-13 08:43:03,1,1.0
132,rem,2026-04-13 08:44:03,2026-04-13 08:47:03,4,4.0
133,light,2026-04-13 08:48:03,2026-04-13 08:48:03,1,1.0
134,rem,2026-04-13 08:49:03,2026-04-13 08:49:03,1,1.0
135,light,2026-04-13 08:50:03,2026-04-13 08:50:03,1,1.0
