night_id,session_id,start_local,end_local,duration_min,n_rows,epoch_sec,sleep_onset_local,sleep_total_min,awake_min,light_min,deep_min,rem_min,awake_pct,light_pct,deep_pct,rem_pct,transitions,awakenings,median_bpm,median_sdhr,median_movement,lag_sec_mean,lag_sec_min,lag_sec_max,missing_bpm,missing_sdhr,missing_movement,withings_from_local,withings_to_local,withings_duration_min,withings_light_min,withings_deep_min,withings_rem_min,withings_awake_min,withings_avg_hr,withings_min_hr,withings_max_hr,withings_overlap_min,withings_accuracy,withings_kappa,withings_hr_points,withings_hr_mae,withings_hr_rmse,withings_hr_bias,withings_hr_corr
2026-03-17_s01,1,2026-03-17 19:28:03,2026-03-17 19:58:05,30.03,16,123.5,,0.0,32.93,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,72.0,,111.0,-44.27831247448921,-44.861000061035156,-43.82599997520447,0,16,0,2026-03-18 02:53:00,2026-03-18 10:00:00,427.0,263.0,155.0,0.0,9.0,70.0,56.0,97.0,,,,,,,,
2026-04-12_s03,3,2026-04-12 23:20:00,2026-04-13 08:50:03,570.05,623,60.0,2026-04-12 23:20:00,537.0,86.0,412.0,64.0,61.0,13.8,66.13,10.27,9.79,134,11,59.0,1.8,18.0,-123.69693258294707,-181.31399989128113,421.99399995803833,0,0,0,2026-04-13 01:39:00,2026-04-13 08:45:00,426.0,218.0,200.0,0.0,8.0,63.0,44.0,94.0,426.0,0.41784037558685444,-0.06185297605885781,58.0,6.181034482758621,8.633585182497956,-3.543103448275862,0.39456918857662093
